,index,Series,Year,Value,Country
3388,WSM,Current account balance (% of GDP),2025,-3.8,Samoa
3389,YEM,Current account balance (% of GDP),2025,-6.7,Yemen
3390,ZAF,Current account balance (% of GDP),2025,-2.3,South Africa
3391,ZMB,Current account balance (% of GDP),2025,4.4,Zambia
3392,ZWE,Current account balance (% of GDP),2025,0.7,Zimbabwe
3395,AFG,Change of average inflation rate consumer prices (in %),2025,,Afghanistan
3397,AGO,Change of average inflation rate consumer prices (in %),2025,9.4,Angola
3398,ALB,Change of average inflation rate consumer prices (in %),2025,3.0,Albania
3402,ARG,Change of average inflation rate consumer prices (in %),2025,46.9,Argentina
3403,ARM,Change of average inflation rate consumer prices (in %),2025,4.5,Armenia
3405,ATG,Change of average inflation rate consumer prices (in %),2025,2.0,Antigua and Barbuda
3408,AZE,Change of average inflation rate consumer prices (in %),2025,6.0,Azerbaijan
3410,BDI,Change of average inflation rate consumer prices (in %),2025,10.0,Burundi
3412,BEN,Change of average inflation rate consumer prices (in %),2025,2.0,Benin
3413,BFA,Change of average inflation rate consumer prices (in %),2025,2.0,Burkina Faso
3414,BGD,Change of average inflation rate consumer prices (in %),2025,5.6,Bangladesh
3418,BIH,Change of average inflation rate consumer prices (in %),2025,2.7,Bosnia and Herzegovina
3419,BLR,Change of average inflation rate consumer prices (in %),2025,7.1,Belarus
3420,BLZ,Change of average inflation rate consumer prices (in %),2025,1.6,Belize
3421,BOL,Change of average inflation rate consumer prices (in %),2025,3.8,Bolivia
3422,BRA,Change of average inflation rate consumer prices (in %),2025,3.0,Brazil
3425,BTN,Change of average inflation rate consumer prices (in %),2025,4.2,Bhutan
3426,BWA,Change of average inflation rate consumer prices (in %),2025,4.5,Botswana
3427,CAF,Change of average inflation rate consumer prices (in %),2025,2.8,Central African Republic
3433,CHN,Change of average inflation rate consumer prices (in %),2025,2.2,China (People's Republic of)
3434,CIV,Change of average inflation rate consumer prices (in %),2025,1.7,Côte d'Ivoire
3436,CMR,Change of average inflation rate consumer prices (in %),2025,3.0,Cameroon
3437,COD,Change of average inflation rate consumer prices (in %),2025,6.8,Democratic Republic of the Congo
3438,COG,Change of average inflation rate consumer prices (in %),2025,3.1,Congo
3439,COL,Change of average inflation rate consumer prices (in %),2025,3.0,Colombia
3440,COM,Change of average inflation rate consumer prices (in %),2025,2.3,Comoros
3441,CPV,Change of average inflation rate consumer prices (in %),2025,2.0,Cabo Verde
3442,CRI,Change of average inflation rate consumer prices (in %),2025,3.2,Costa Rica
3447,DJI,Change of average inflation rate consumer prices (in %),2025,2.5,Djibouti
3448,DMA,Change of average inflation rate consumer prices (in %),2025,2.0,Dominica
3450,DOM,Change of average inflation rate consumer prices (in %),2025,4.0,Dominican Republic
3451,DZA,Change of average inflation rate consumer prices (in %),2025,6.5,Algeria
3453,ECU,Change of average inflation rate consumer prices (in %),2025,1.5,Ecuador
3456,EGY,Change of average inflation rate consumer prices (in %),2025,9.4,Egypt
3457,ERI,Change of average inflation rate consumer prices (in %),2025,4.3,Eritrea
3460,ETH,Change of average inflation rate consumer prices (in %),2025,14.8,Ethiopia
3465,FJI,Change of average inflation rate consumer prices (in %),2025,3.0,Fiji
3467,FSM,Change of average inflation rate consumer prices (in %),2025,2.0,Micronesia
3468,GAB,Change of average inflation rate consumer prices (in %),2025,2.6,Gabon
3470,GEO,Change of average inflation rate consumer prices (in %),2025,3.0,Georgia
3471,GHA,Change of average inflation rate consumer prices (in %),2025,11.5,Ghana
3472,GIN,Change of average inflation rate consumer prices (in %),2025,7.5,Guinea
3473,GMB,Change of average inflation rate consumer prices (in %),2025,6.1,Gambia
3474,GNB,Change of average inflation rate consumer prices (in %),2025,2.0,Guinea-Bissau
3475,GNQ,Change of average inflation rate consumer prices (in %),2025,4.7,Equatorial Guinea
3477,GRD,Change of average inflation rate consumer prices (in %),2025,2.0,Grenada
3478,GTM,Change of average inflation rate consumer prices (in %),2025,4.4,Guatemala
3479,GUY,Change of average inflation rate consumer prices (in %),2025,5.0,Guyana
3481,HND,Change of average inflation rate consumer prices (in %),2025,4.1,Honduras
3483,HTI,Change of average inflation rate consumer prices (in %),2025,12.6,Haiti
3485,IDN,Change of average inflation rate consumer prices (in %),2025,2.7,Indonesia
3486,IND,Change of average inflation rate consumer prices (in %),2025,4.1,India
3488,IRN,Change of average inflation rate consumer prices (in %),2025,25.0,Iran
3489,IRQ,Change of average inflation rate consumer prices (in %),2025,2.2,Iraq
3493,JAM,Change of average inflation rate consumer prices (in %),2025,5.0,Jamaica
3494,JOR,Change of average inflation rate consumer prices (in %),2025,2.5,Jordan
3496,KAZ,Change of average inflation rate consumer prices (in %),2025,6.2,Kazakhstan
3497,KEN,Change of average inflation rate consumer prices (in %),2025,5.3,Kenya
3498,KGZ,Change of average inflation rate consumer prices (in %),2025,5.8,Kyrgyzstan
3499,KHM,Change of average inflation rate consumer prices (in %),2025,3.0,Cambodia
3500,KIR,Change of average inflation rate consumer prices (in %),2025,2.1,Kiribati
3504,LAO,Change of average inflation rate consumer prices (in %),2025,3.0,Lao People's Democratic Republic
3505,LBN,Change of average inflation rate consumer prices (in %),2025,,Lebanon
3506,LBR,Change of average inflation rate consumer prices (in %),2025,5.8,Liberia
3507,LBY,Change of average inflation rate consumer prices (in %),2025,2.9,Libya
3508,LCA,Change of average inflation rate consumer prices (in %),2025,2.0,Saint Lucia
3509,LKA,Change of average inflation rate consumer prices (in %),2025,5.6,Sri Lanka
3510,LSO,Change of average inflation rate consumer prices (in %),2025,5.5,Lesotho
3516,MAR,Change of average inflation rate consumer prices (in %),2025,2.4,Morocco
3517,MDA,Change of average inflation rate consumer prices (in %),2025,5.0,Moldova
3518,MDG,Change of average inflation rate consumer prices (in %),2025,8.1,Madagascar
3519,MDV,Change of average inflation rate consumer prices (in %),2025,2.2,Maldives
3522,MEX,Change of average inflation rate consumer prices (in %),2025,3.3,Mexico
3523,MHL,Change of average inflation rate consumer prices (in %),2025,2.0,Marshall Islands
3524,MKD,Change of average inflation rate consumer prices (in %),2025,2.3,North Macedonia
3525,MLI,Change of average inflation rate consumer prices (in %),2025,2.0,Mali
3527,MMR,Change of average inflation rate consumer prices (in %),2025,7.8,Myanmar
3528,MNE,Change of average inflation rate consumer prices (in %),2025,2.9,Montenegro
3529,MNG,Change of average inflation rate consumer prices (in %),2025,7.9,Mongolia
3530,MOZ,Change of average inflation rate consumer prices (in %),2025,6.3,Mozambique
3531,MRT,Change of average inflation rate consumer prices (in %),2025,5.5,Mauritania
3532,MUS,Change of average inflation rate consumer prices (in %),2025,5.2,Mauritius
3533,MWI,Change of average inflation rate consumer prices (in %),2025,12.1,Malawi
3534,MYS,Change of average inflation rate consumer prices (in %),2025,2.6,Malaysia
3535,NAM,Change of average inflation rate consumer prices (in %),2025,4.6,Namibia
3537,NER,Change of average inflation rate consumer prices (in %),2025,2.0,Niger
3538,NGA,Change of average inflation rate consumer prices (in %),2025,14.7,Nigeria
3539,NIC,Change of average inflation rate consumer prices (in %),2025,4.0,Nicaragua
3543,NPL,Change of average inflation rate consumer prices (in %),2025,5.6,Nepal
3544,NRU,Change of average inflation rate consumer prices (in %),2025,3.3,Nauru
3549,PAK,Change of average inflation rate consumer prices (in %),2025,10.5,Pakistan
3550,PAN,Change of average inflation rate consumer prices (in %),2025,2.0,Panama
3551,PER,Change of average inflation rate consumer prices (in %),2025,2.2,Peru
3552,PHL,Change of average inflation rate consumer prices (in %),2025,3.0,Philippines
3554,PLW,Change of average inflation rate consumer prices (in %),2025,2.4,Palau
3555,PNG,Change of average inflation rate consumer prices (in %),2025,4.6,Papua New Guinea
3559,PRY,Change of average inflation rate consumer prices (in %),2025,4.0,Paraguay
3563,RWA,Change of average inflation rate consumer prices (in %),2025,5.0,Rwanda
3566,SDN,Change of average inflation rate consumer prices (in %),2025,39.8,Sudan
3567,SEN,Change of average inflation rate consumer prices (in %),2025,2.0,Senegal
3570,SLB,Change of average inflation rate consumer prices (in %),2025,3.3,Solomon Islands
3571,SLE,Change of average inflation rate consumer prices (in %),2025,19.2,Sierra Leone
3572,SLV,Change of average inflation rate consumer prices (in %),2025,1.7,El Salvador
3574,SOM,Change of average inflation rate consumer prices (in %),2025,3.6,Somalia
3575,SRB,Change of average inflation rate consumer prices (in %),2025,3.5,Serbia
3577,SSD,Change of average inflation rate consumer prices (in %),2025,7.2,South Sudan
3579,STP,Change of average inflation rate consumer prices (in %),2025,5.0,Sao Tome and Principe
3580,SUR,Change of average inflation rate consumer prices (in %),2025,13.0,Suriname
3584,SWZ,Change of average inflation rate consumer prices (in %),2025,4.4,Eswatini
3586,SYR,Change of average inflation rate consumer prices (in %),2025,,Syrian Arab Republic
3587,TCD,Change of average inflation rate consumer prices (in %),2025,3.0,Chad
3588,TGO,Change of average inflation rate consumer prices (in %),2025,2.0,Togo
3589,THA,Change of average inflation rate consumer prices (in %),2025,2.0,Thailand
3590,TJK,Change of average inflation rate consumer prices (in %),2025,6.5,Tajikistan
3591,TKM,Change of average inflation rate consumer prices (in %),2025,10.0,Turkmenistan
3592,TLS,Change of average inflation rate consumer prices (in %),2025,2.0,Timor-Leste
3593,TON,Change of average inflation rate consumer prices (in %),2025,2.9,Tonga
3595,TUN,Change of average inflation rate consumer prices (in %),2025,7.8,Tunisia
3596,TUR,Change of average inflation rate consumer prices (in %),2025,24.9,Türkiye
3597,TUV,Change of average inflation rate consumer prices (in %),2025,3.6,Tuvalu
3599,TZA,Change of average inflation rate consumer prices (in %),2025,3.8,Tanzania
3600,UGA,Change of average inflation rate consumer prices (in %),2025,4.6,Uganda
3601,UKR,Change of average inflation rate consumer prices (in %),2025,,Ukraine
3605,UZB,Change of average inflation rate consumer prices (in %),2025,6.5,Uzbekistan
3606,VCT,Change of average inflation rate consumer prices (in %),2025,2.0,Saint Vincent and the Grenadines
3607,VEN,Change of average inflation rate consumer prices (in %),2025,,Venezuela
3608,VNM,Change of average inflation rate consumer prices (in %),2025,4.1,Viet Nam
3609,VUT,Change of average inflation rate consumer prices (in %),2025,3.1,Vanuatu
3615,WSM,Change of average inflation rate consumer prices (in %),2025,4.0,Samoa
3616,YEM,Change of average inflation rate consumer prices (in %),2025,13.7,Yemen
3617,ZAF,Change of average inflation rate consumer prices (in %),2025,4.5,South Africa
3618,ZMB,Change of average inflation rate consumer prices (in %),2025,7.1,Zambia
3619,ZWE,Change of average inflation rate consumer prices (in %),2025,105.7,Zimbabwe
3622,AFG,General Government Debt (% of GDP),2026,,Afghanistan
3624,AGO,General Government Debt (% of GDP),2026,54.4,Angola
3625,ALB,General Government Debt (% of GDP),2026,64.6,Albania
3629,ARG,General Government Debt (% of GDP),2026,70.7,Argentina
3630,ARM,General Government Debt (% of GDP),2026,52.1,Armenia
3632,ATG,General Government Debt (% of GDP),2026,73.0,Antigua and Barbuda
3635,AZE,General Government Debt (% of GDP),2026,28.2,Azerbaijan
3637,BDI,General Government Debt (% of GDP),2026,50.5,Burundi
3639,BEN,General Government Debt (% of GDP),2026,49.5,Benin
3640,BFA,General Government Debt (% of GDP),2026,61.3,Burkina Faso
3641,BGD,General Government Debt (% of GDP),2026,43.1,Bangladesh
3645,BIH,General Government Debt (% of GDP),2026,27.9,Bosnia and Herzegovina
3646,BLR,General Government Debt (% of GDP),2026,37.0,Belarus
3647,BLZ,General Government Debt (% of GDP),2026,55.8,Belize
3648,BOL,General Government Debt (% of GDP),2026,83.9,Bolivia
3649,BRA,General Government Debt (% of GDP),2026,95.2,Brazil
3652,BTN,General Government Debt (% of GDP),2026,122.6,Bhutan
3653,BWA,General Government Debt (% of GDP),2026,16.7,Botswana
3654,CAF,General Government Debt (% of GDP),2026,46.2,Central African Republic
3660,CHN,General Government Debt (% of GDP),2026,96.5,China (People's Republic of)
3661,CIV,General Government Debt (% of GDP),2026,55.1,Côte d'Ivoire
3663,CMR,General Government Debt (% of GDP),2026,37.5,Cameroon
3664,COD,General Government Debt (% of GDP),2026,5.8,Democratic Republic of the Congo
3665,COG,General Government Debt (% of GDP),2026,81.7,Congo
3666,COL,General Government Debt (% of GDP),2026,60.1,Colombia
3667,COM,General Government Debt (% of GDP),2026,38.0,Comoros
3668,CPV,General Government Debt (% of GDP),2026,110.4,Cabo Verde
3669,CRI,General Government Debt (% of GDP),2026,60.6,Costa Rica
3674,DJI,General Government Debt (% of GDP),2026,32.1,Djibouti
3675,DMA,General Government Debt (% of GDP),2026,90.3,Dominica
3677,DOM,General Government Debt (% of GDP),2026,56.5,Dominican Republic
3678,DZA,General Government Debt (% of GDP),2026,62.3,Algeria
3680,ECU,General Government Debt (% of GDP),2026,,Ecuador
3683,EGY,General Government Debt (% of GDP),2026,83.4,Egypt
3684,ERI,General Government Debt (% of GDP),2026,113.7,Eritrea
3687,ETH,General Government Debt (% of GDP),2026,29.8,Ethiopia
3692,FJI,General Government Debt (% of GDP),2026,87.8,Fiji
3694,FSM,General Government Debt (% of GDP),2026,28.7,Micronesia
3695,GAB,General Government Debt (% of GDP),2026,55.7,Gabon
3697,GEO,General Government Debt (% of GDP),2026,38.8,Georgia
3698,GHA,General Government Debt (% of GDP),2026,90.4,Ghana
3699,GIN,General Government Debt (% of GDP),2026,28.8,Guinea
3700,GMB,General Government Debt (% of GDP),2026,59.0,Gambia
3701,GNB,General Government Debt (% of GDP),2026,71.8,Guinea-Bissau
3702,GNQ,General Government Debt (% of GDP),2026,29.4,Equatorial Guinea
3704,GRD,General Government Debt (% of GDP),2026,50.7,Grenada
3705,GTM,General Government Debt (% of GDP),2026,27.7,Guatemala
3706,GUY,General Government Debt (% of GDP),2026,18.9,Guyana
3708,HND,General Government Debt (% of GDP),2026,,Honduras
3710,HTI,General Government Debt (% of GDP),2026,20.4,Haiti
3712,IDN,General Government Debt (% of GDP),2026,38.1,Indonesia
3713,IND,General Government Debt (% of GDP),2026,83.8,India
3715,IRN,General Government Debt (% of GDP),2026,35.8,Iran
3716,IRQ,General Government Debt (% of GDP),2026,57.5,Iraq
3720,JAM,General Government Debt (% of GDP),2026,64.0,Jamaica
3721,JOR,General Government Debt (% of GDP),2026,80.2,Jordan
3723,KAZ,General Government Debt (% of GDP),2026,31.4,Kazakhstan
3724,KEN,General Government Debt (% of GDP),2026,62.7,Kenya
3725,KGZ,General Government Debt (% of GDP),2026,54.5,Kyrgyzstan
3726,KHM,General Government Debt (% of GDP),2026,40.4,Cambodia
3727,KIR,General Government Debt (% of GDP),2026,41.0,Kiribati
3731,LAO,General Government Debt (% of GDP),2026,112.2,Lao People's Democratic Republic
3732,LBN,General Government Debt (% of GDP),2026,,Lebanon
3733,LBR,General Government Debt (% of GDP),2026,53.4,Liberia
3734,LCA,General Government Debt (% of GDP),2026,82.8,Saint Lucia
3735,LKA,General Government Debt (% of GDP),2026,,Sri Lanka
3736,LSO,General Government Debt (% of GDP),2026,55.0,Lesotho
3742,MAR,General Government Debt (% of GDP),2026,67.7,Morocco
3743,MDA,General Government Debt (% of GDP),2026,36.9,Moldova
3744,MDG,General Government Debt (% of GDP),2026,53.1,Madagascar
3745,MDV,General Government Debt (% of GDP),2026,99.1,Maldives
3748,MEX,General Government Debt (% of GDP),2026,56.9,Mexico
3749,MHL,General Government Debt (% of GDP),2026,29.2,Marshall Islands
3750,MKD,General Government Debt (% of GDP),2026,50.5,North Macedonia
3751,MLI,General Government Debt (% of GDP),2026,55.5,Mali
3753,MMR,General Government Debt (% of GDP),2026,67.3,Myanmar
3754,MNE,General Government Debt (% of GDP),2026,70.9,Montenegro
3755,MNG,General Government Debt (% of GDP),2026,68.7,Mongolia
3756,MOZ,General Government Debt (% of GDP),2026,97.8,Mozambique
3757,MRT,General Government Debt (% of GDP),2026,49.8,Mauritania
3758,MUS,General Government Debt (% of GDP),2026,75.7,Mauritius
3759,MWI,General Government Debt (% of GDP),2026,63.5,Malawi
3760,MYS,General Government Debt (% of GDP),2026,68.0,Malaysia
3761,NAM,General Government Debt (% of GDP),2026,64.2,Namibia
3763,NER,General Government Debt (% of GDP),2026,47.2,Niger
3764,NGA,General Government Debt (% of GDP),2026,41.5,Nigeria
3765,NIC,General Government Debt (% of GDP),2026,46.5,Nicaragua
3769,NPL,General Government Debt (% of GDP),2026,50.2,Nepal
3770,NRU,General Government Debt (% of GDP),2026,20.2,Nauru
3775,PAK,General Government Debt (% of GDP),2026,67.6,Pakistan
3776,PAN,General Government Debt (% of GDP),2026,51.9,Panama
3777,PER,General Government Debt (% of GDP),2026,32.8,Peru
3778,PHL,General Government Debt (% of GDP),2026,55.4,Philippines
3780,PNG,General Government Debt (% of GDP),2026,43.5,Papua New Guinea
3784,PRY,General Government Debt (% of GDP),2026,38.5,Paraguay
3788,RWA,General Government Debt (% of GDP),2026,68.9,Rwanda
3791,SDN,General Government Debt (% of GDP),2026,160.4,Sudan
3792,SEN,General Government Debt (% of GDP),2026,69.0,Senegal
3795,SLB,General Government Debt (% of GDP),2026,29.3,Solomon Islands
3796,SLE,General Government Debt (% of GDP),2026,71.7,Sierra Leone
3797,SLV,General Government Debt (% of GDP),2026,80.8,El Salvador
3800,SRB,General Government Debt (% of GDP),2026,42.0,Serbia
3802,SSD,General Government Debt (% of GDP),2026,38.4,South Sudan
3804,STP,General Government Debt (% of GDP),2026,53.4,Sao Tome and Principe
3805,SUR,General Government Debt (% of GDP),2026,89.6,Suriname
3809,SWZ,General Government Debt (% of GDP),2026,38.6,Eswatini
3811,SYR,General Government Debt (% of GDP),2026,,Syrian Arab Republic
3812,TCD,General Government Debt (% of GDP),2026,33.0,Chad
3813,TGO,General Government Debt (% of GDP),2026,68.5,Togo
3814,THA,General Government Debt (% of GDP),2026,59.0,Thailand
3815,TJK,General Government Debt (% of GDP),2026,31.1,Tajikistan
3816,TKM,General Government Debt (% of GDP),2026,2.8,Turkmenistan
3817,TLS,General Government Debt (% of GDP),2026,23.6,Timor-Leste
3818,TON,General Government Debt (% of GDP),2026,51.5,Tonga
3820,TUN,General Government Debt (% of GDP),2026,74.7,Tunisia
3821,TUR,General Government Debt (% of GDP),2026,38.8,Türkiye
3822,TUV,General Government Debt (% of GDP),2026,14.2,Tuvalu
3824,TZA,General Government Debt (% of GDP),2026,36.1,Tanzania
3825,UGA,General Government Debt (% of GDP),2026,45.4,Uganda
3826,UKR,General Government Debt (% of GDP),2026,,Ukraine
3830,UZB,General Government Debt (% of GDP),2026,30.2,Uzbekistan
3831,VCT,General Government Debt (% of GDP),2026,85.7,Saint Vincent and the Grenadines
3832,VEN,General Government Debt (% of GDP),2026,,Venezuela
3833,VNM,General Government Debt (% of GDP),2026,33.8,Viet Nam
3834,VUT,General Government Debt (% of GDP),2026,58.1,Vanuatu
3839,WSM,General Government Debt (% of GDP),2026,40.2,Samoa
3840,YEM,General Government Debt (% of GDP),2026,36.3,Yemen
3841,ZAF,General Government Debt (% of GDP),2026,80.0,South Africa
3842,ZMB,General Government Debt (% of GDP),2026,,Zambia
3843,ZWE,General Government Debt (% of GDP),2026,83.5,Zimbabwe
3846,AFG,Real GDP Growth (in %),2026,,Afghanistan
3848,AGO,Real GDP Growth (in %),2026,4.1,Angola
3849,ALB,Real GDP Growth (in %),2026,3.4,Albania
3853,ARG,Real GDP Growth (in %),2026,2.0,Argentina
3854,ARM,Real GDP Growth (in %),2026,4.5,Armenia
3856,ATG,Real GDP Growth (in %),2026,2.7,Antigua and Barbuda
3859,AZE,Real GDP Growth (in %),2026,2.5,Azerbaijan
3861,BDI,Real GDP Growth (in %),2026,5.7,Burundi
3863,BEN,Real GDP Growth (in %),2026,6.0,Benin
3864,BFA,Real GDP Growth (in %),2026,5.3,Burkina Faso
3865,BGD,Real GDP Growth (in %),2026,7.3,Bangladesh
3869,BIH,Real GDP Growth (in %),2026,3.0,Bosnia and Herzegovina
3870,BLR,Real GDP Growth (in %),2026,0.7,Belarus
3871,BLZ,Real GDP Growth (in %),2026,2.0,Belize
3872,BOL,Real GDP Growth (in %),2026,2.2,Bolivia
3873,BRA,Real GDP Growth (in %),2026,2.0,Brazil
3876,BTN,Real GDP Growth (in %),2026,7.2,Bhutan
3877,BWA,Real GDP Growth (in %),2026,4.0,Botswana
3878,CAF,Real GDP Growth (in %),2026,3.8,Central African Republic
3884,CHN,Real GDP Growth (in %),2026,4.0,China (People's Republic of)
3885,CIV,Real GDP Growth (in %),2026,6.3,Côte d'Ivoire
3887,CMR,Real GDP Growth (in %),2026,4.6,Cameroon
3888,COD,Real GDP Growth (in %),2026,7.0,Democratic Republic of the Congo
3889,COG,Real GDP Growth (in %),2026,4.0,Congo
3890,COL,Real GDP Growth (in %),2026,3.3,Colombia
3891,COM,Real GDP Growth (in %),2026,4.3,Comoros
3892,CPV,Real GDP Growth (in %),2026,5.0,Cabo Verde
3893,CRI,Real GDP Growth (in %),2026,3.3,Costa Rica
3898,DJI,Real GDP Growth (in %),2026,5.0,Djibouti
3899,DMA,Real GDP Growth (in %),2026,2.7,Dominica
3901,DOM,Real GDP Growth (in %),2026,5.0,Dominican Republic
3902,DZA,Real GDP Growth (in %),2026,2.1,Algeria
3904,ECU,Real GDP Growth (in %),2026,2.8,Ecuador
3907,EGY,Real GDP Growth (in %),2026,5.8,Egypt
3908,ERI,Real GDP Growth (in %),2026,2.9,Eritrea
3911,ETH,Real GDP Growth (in %),2026,6.7,Ethiopia
3916,FJI,Real GDP Growth (in %),2026,4.1,Fiji
3918,FSM,Real GDP Growth (in %),2026,0.8,Micronesia
3919,GAB,Real GDP Growth (in %),2026,3.3,Gabon
3921,GEO,Real GDP Growth (in %),2026,5.2,Georgia
3922,GHA,Real GDP Growth (in %),2026,5.0,Ghana
3923,GIN,Real GDP Growth (in %),2026,5.5,Guinea
3924,GMB,Real GDP Growth (in %),2026,5.0,Gambia
3925,GNB,Real GDP Growth (in %),2026,5.0,Guinea-Bissau
3926,GNQ,Real GDP Growth (in %),2026,-1.6,Equatorial Guinea
3928,GRD,Real GDP Growth (in %),2026,3.2,Grenada
3929,GTM,Real GDP Growth (in %),2026,3.7,Guatemala
3930,GUY,Real GDP Growth (in %),2026,36.6,Guyana
3932,HND,Real GDP Growth (in %),2026,3.9,Honduras
3934,HTI,Real GDP Growth (in %),2026,1.5,Haiti
3936,IDN,Real GDP Growth (in %),2026,5.0,Indonesia
3937,IND,Real GDP Growth (in %),2026,6.1,India
3939,IRN,Real GDP Growth (in %),2026,2.0,Iran
3940,IRQ,Real GDP Growth (in %),2026,2.4,Iraq
3944,JAM,Real GDP Growth (in %),2026,1.6,Jamaica
3945,JOR,Real GDP Growth (in %),2026,3.0,Jordan
3947,KAZ,Real GDP Growth (in %),2026,1.7,Kazakhstan
3948,KEN,Real GDP Growth (in %),2026,5.5,Kenya
3949,KGZ,Real GDP Growth (in %),2026,4.0,Kyrgyzstan
3950,KHM,Real GDP Growth (in %),2026,6.5,Cambodia
3951,KIR,Real GDP Growth (in %),2026,2.1,Kiribati
3955,LAO,Real GDP Growth (in %),2026,4.2,Lao People's Democratic Republic
3956,LBN,Real GDP Growth (in %),2026,,Lebanon
3957,LBR,Real GDP Growth (in %),2026,5.8,Liberia
3958,LBY,Real GDP Growth (in %),2026,5.0,Libya
3959,LCA,Real GDP Growth (in %),2026,1.7,Saint Lucia
3960,LKA,Real GDP Growth (in %),2026,3.0,Sri Lanka
3961,LSO,Real GDP Growth (in %),2026,1.5,Lesotho
3967,MAR,Real GDP Growth (in %),2026,3.2,Morocco
3968,MDA,Real GDP Growth (in %),2026,5.1,Moldova
3969,MDG,Real GDP Growth (in %),2026,4.7,Madagascar
3970,MDV,Real GDP Growth (in %),2026,5.9,Maldives
3973,MEX,Real GDP Growth (in %),2026,1.8,Mexico
3974,MHL,Real GDP Growth (in %),2026,1.5,Marshall Islands
3975,MKD,Real GDP Growth (in %),2026,3.8,North Macedonia
3976,MLI,Real GDP Growth (in %),2026,5.1,Mali
3978,MMR,Real GDP Growth (in %),2026,2.6,Myanmar
3979,MNE,Real GDP Growth (in %),2026,3.0,Montenegro
3980,MNG,Real GDP Growth (in %),2026,5.5,Mongolia
3981,MOZ,Real GDP Growth (in %),2026,5.0,Mozambique
3982,MRT,Real GDP Growth (in %),2026,4.0,Mauritania
3983,MUS,Real GDP Growth (in %),2026,3.4,Mauritius
3984,MWI,Real GDP Growth (in %),2026,4.3,Malawi
3985,MYS,Real GDP Growth (in %),2026,4.4,Malaysia
3986,NAM,Real GDP Growth (in %),2026,2.6,Namibia
3988,NER,Real GDP Growth (in %),2026,6.2,Niger
3989,NGA,Real GDP Growth (in %),2026,3.0,Nigeria
3990,NIC,Real GDP Growth (in %),2026,3.5,Nicaragua
3994,NPL,Real GDP Growth (in %),2026,5.2,Nepal
3995,NRU,Real GDP Growth (in %),2026,2.3,Nauru
4000,PAK,Real GDP Growth (in %),2026,4.8,Pakistan
4001,PAN,Real GDP Growth (in %),2026,4.0,Panama
4002,PER,Real GDP Growth (in %),2026,3.0,Peru
4003,PHL,Real GDP Growth (in %),2026,6.2,Philippines
4005,PLW,Real GDP Growth (in %),2026,3.5,Palau
4006,PNG,Real GDP Growth (in %),2026,3.1,Papua New Guinea
4010,PRY,Real GDP Growth (in %),2026,3.5,Paraguay
4014,RWA,Real GDP Growth (in %),2026,6.8,Rwanda
4017,SDN,Real GDP Growth (in %),2026,3.0,Sudan
4018,SEN,Real GDP Growth (in %),2026,5.1,Senegal
4021,SLB,Real GDP Growth (in %),2026,3.0,Solomon Islands
4022,SLE,Real GDP Growth (in %),2026,4.6,Sierra Leone
4023,SLV,Real GDP Growth (in %),2026,2.1,El Salvador
4026,SOM,Real GDP Growth (in %),2026,4.0,Somalia
4027,SRB,Real GDP Growth (in %),2026,4.0,Serbia
4029,SSD,Real GDP Growth (in %),2026,4.4,South Sudan
4031,STP,Real GDP Growth (in %),2026,3.6,Sao Tome and Principe
4032,SUR,Real GDP Growth (in %),2026,3.0,Suriname
4036,SWZ,Real GDP Growth (in %),2026,2.5,Eswatini
4038,SYR,Real GDP Growth (in %),2026,,Syrian Arab Republic
4039,TCD,Real GDP Growth (in %),2026,3.8,Chad
4040,TGO,Real GDP Growth (in %),2026,5.5,Togo
4041,THA,Real GDP Growth (in %),2026,3.1,Thailand
4042,TJK,Real GDP Growth (in %),2026,4.0,Tajikistan
4043,TKM,Real GDP Growth (in %),2026,2.3,Turkmenistan
4044,TLS,Real GDP Growth (in %),2026,3.0,Timor-Leste
4045,TON,Real GDP Growth (in %),2026,1.8,Tonga
4047,TUN,Real GDP Growth (in %),2026,2.6,Tunisia
4048,TUR,Real GDP Growth (in %),2026,3.0,Türkiye
4049,TUV,Real GDP Growth (in %),2026,2.4,Tuvalu
4051,TZA,Real GDP Growth (in %),2026,6.8,Tanzania
4052,UGA,Real GDP Growth (in %),2026,6.9,Uganda
4053,UKR,Real GDP Growth (in %),2026,,Ukraine
4057,UZB,Real GDP Growth (in %),2026,5.5,Uzbekistan
4058,VCT,Real GDP Growth (in %),2026,2.8,Saint Vincent and the Grenadines
4059,VEN,Real GDP Growth (in %),2026,,Venezuela
4060,VNM,Real GDP Growth (in %),2026,6.7,Viet Nam
4061,VUT,Real GDP Growth (in %),2026,3.1,Vanuatu
4067,WSM,Real GDP Growth (in %),2026,3.0,Samoa
4068,YEM,Real GDP Growth (in %),2026,6.5,Yemen
4069,ZAF,Real GDP Growth (in %),2026,1.4,South Africa
4070,ZMB,Real GDP Growth (in %),2026,4.7,Zambia
4071,ZWE,Real GDP Growth (in %),2026,2.8,Zimbabwe
4074,AFG,Current account balance (% of GDP),2026,,Afghanistan
4076,AGO,Current account balance (% of GDP),2026,1.3,Angola
4077,ALB,Current account balance (% of GDP),2026,-7.5,Albania
4081,ARG,Current account balance (% of GDP),2026,0.5,Argentina
4082,ARM,Current account balance (% of GDP),2026,-4.3,Armenia
